Location,University,QS Rank,Program,Qualification
UK,Imperial College London,2,Chemistry (F100),BSc
UK,Imperial College London,2,Mathematics and Computer Science (GG14),MEng
UK,Imperial College London,2,Biochemistry (C700),BSc
UK,Imperial College London,2,Civil Engineering (H201),MEng
UK,Imperial College London,2,Mathematics (G100),BSc
UK,Imperial College London,2,Electronic and Information Engineering (GH56),MEng
UK,Imperial College London,2,Computing (Artificial Intelligence and Machine Learning) (G700),MEng
UK,Imperial College London,2,Biomedical Engineering (BH9C),MEng
UK,Imperial College London,2,Civil Engineering (H201),MEng
UK,Imperial College London,2,Medicine (A100),MBBS
UK,Imperial College London,2,Physics (F303),MSci
UK,Imperial College London,2,Medicine (A100),MBBS
UK,University of Oxford,4,Philosophy, Politics and Economics (L0V0),BA
UK,University of Oxford,4,Chemistry (F100),BSc
UK,University of Oxford,4,Physics (F303),MPhys
UK,University of Oxford,4,Economics and Management (LN12),BA
UK,University of Cambridge,6,Veterinary Medicine (D100),VetMB
UK,University of Cambridge,6,Law (M100),BA
UK,University of Cambridge,6,Computer Science (G400),BA/MMath
UK,University of Cambridge,6,Engineering (H100),BA (Hons) and MEng
UK,University of Cambridge,6,Mathematics (G100),BA (Hons) and MMath
UK,University of Cambridge,6,Engineering (H100),BA (Hons) and MEng
UK,University of Cambridge,6,Computer Science (G400),BA (Hons) and MEng
UK,University of Cambridge,6,Natural Sciences (BCF0),BA (Hons) and MSci
UK,University of Cambridge,6,Engineering (H100),BA (Hons) and MEng
UK,University of Cambridge,6,Psychological and Behavioural Sciences (C800),BA
UK,University of Cambridge,6,Psychological and Behavioural Sciences (C800),BA (Hons)
UK,UCL (University College London),9,Philosophy, Politics and Economics BSc (4V86),BSc
UK,UCL (University College London),9,Chemistry (F100),BSc
UK,UCL (University College London),9,Communications (P305),BA
UK,UCL (University College London),9,Law (M100),LLB
UK,UCL (University College London),9,Cancer Biomedicine (B800),MBChB
UK,UCL (University College London),9,Applied Medical Sciences (9N53),BSc
UK,UCL (University College London),9,Civil Engineering (H202),MEng
UK,UCL (University College London),9,Electronic and Electrical Engineering (H600),BEng
UK,UCL (University College London),9,Fine Art (4 years) (W100),BA
UK,UCL (University College London),9,Computer Science (G400),BSc
UK,UCL (University College London),9,International Management (N290),BSc
UK,UCL (University College London),9,Biomedical Engineering (HC60),BEng
UK,UCL (University College London),9,Civil Engineering (H200),BEng
UK,UCL (University College London),9,Biomedical Science (B900),BSc
UK,UCL (University College London),9,Biomedical science,MBBS
UK,UCL (University College London),9,International Management (N290),BSc
UK,UCL (University College London),9,Psychology (C800),BSc
HK,The University of Hong Kong,11,Computing and Data Science,BSc
HK,The University of Hong Kong,11,Bachelor of Business Administration in Accounting and Finance / Bachelor of Business Administration in Accounting Data Analytics,BBA
